date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab
2025-05-17,잠실,KT,LG,12,4,승,패,18,12,1,1,42,36
2025-05-17,사직,삼성,롯데,5,7,패,승,10,9,0,1,31,33
2025-05-17,광주,두산,KIA,2,5,패,승,6,9,1,1,30,33
2025-05-17,대전,SSG,한화,0,1,패,승,4,6,0,0,30,30
2025-05-17,울산,키움,NC,2,3,패,승,5,6,0,1,34,29
2025-05-17,잠실,KT,LG,7,6,승,패,8,9,1,2,35,34
2025-05-17,사직,삼성,롯데,7,8,패,승,8,13,2,0,34,35
2025-05-17,광주,두산,KIA,1,4,패,승,9,8,1,1,36,32
2025-05-17,대전,SSG,한화,5,2,승,패,9,7,0,1,35,33
2025-05-17,울산,키움,NC,3,2,승,패,8,8,1,1,34,33
