date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab,away_avg,home_avg,raw_date,game_id
2025-03-22,,롯데,LG,2,12,패,승,7.0,15.0,0.0,2.0,33.0,37.0,0.2121,0.4054,20250322,20250322LTLG0
2025-03-22,,두산,SSG,5,6,패,승,9.0,8.0,0.0,1.0,36.0,30.0,0.25,0.2667,20250322,20250322OBSK0
2025-03-22,,키움,삼성,5,13,패,승,14.0,18.0,2.0,2.0,39.0,41.0,0.359,0.439,20250322,20250322WOSS0
2025-03-22,,한화,KT,4,3,승,패,6.0,12.0,1.0,1.0,33.0,36.0,0.1818,0.3333,20250322,20250322HHKT0
2025-03-22,,NC,KIA,2,9,패,승,7.0,12.0,0.0,1.0,34.0,35.0,0.2059,0.3429,20250322,20250322NCHT0
2025-03-23,,롯데,LG,2,10,패,승,6.0,13.0,0.0,5.0,31.0,36.0,0.1935,0.3611,20250323,20250323LTLG0
2025-03-23,,두산,SSG,2,5,패,승,9.0,10.0,0.0,0.0,36.0,31.0,0.25,0.3226,20250323,20250323OBSK0
2025-03-23,,키움,삼성,7,11,패,승,11.0,15.0,1.0,4.0,38.0,39.0,0.2895,0.3846,20250323,20250323WOSS0
2025-03-23,,한화,KT,4,5,패,승,8.0,7.0,2.0,0.0,38.0,38.0,0.2105,0.1842,20250323,20250323HHKT0
2025-03-23,,NC,KIA,5,4,승,패,10.0,6.0,1.0,2.0,32.0,34.0,0.3125,0.1765,20250323,20250323NCHT0
2025-03-25,,키움,KIA,6,11,패,승,10.0,17.0,1.0,5.0,36.0,40.0,0.2778,0.425,20250325,20250325WOHT0
2025-03-25,,두산,KT,3,8,패,승,12.0,12.0,0.0,2.0,36.0,34.0,0.3333,0.3529,20250325,20250325OBKT0
2025-03-25,,NC,삼성,5,14,패,승,10.0,12.0,0.0,4.0,35.0,33.0,0.2857,0.3636,20250325,20250325NCSS0
2025-03-25,,롯데,SSG,3,2,승,패,10.0,4.0,0.0,2.0,38.0,35.0,0.2632,0.1143,20250325,20250325LTSK0
2025-03-25,,한화,LG,0,5,패,승,2.0,6.0,0.0,0.0,29.0,29.0,0.069,0.2069,20250325,20250325HHLG0
2025-03-25,,한화,LG,0,5,패,승,2.0,6.0,0.0,0.0,29.0,29.0,0.069,0.2069,20250325,20250325HHLG0
2025-03-25,,두산,KT,3,8,패,승,12.0,12.0,0.0,2.0,36.0,34.0,0.3333,0.3529,20250325,20250325OBKT0
2025-03-25,,NC,삼성,5,14,패,승,10.0,12.0,0.0,4.0,35.0,33.0,0.2857,0.3636,20250325,20250325NCSS0
2025-03-25,,롯데,SSG,3,2,승,패,10.0,4.0,0.0,2.0,38.0,35.0,0.2632,0.1143,20250325,20250325LTSK0
